RollNumber,Name,Branch,Phone,Python_Attended,Python_Conducted,DBMS_Attended,DBMS_Conducted,OS_Attended,OS_Conducted,CN_Attended,CN_Conducted,DAA_Attended,DAA_Conducted,Java_Attended,Java_Conducted,Software Engineering_Attended,Software Engineering_Conducted,Compiler Design_Attended,Compiler Design_Conducted,Computer Graphics_Attended,Computer Graphics_Conducted,AI_Attended,AI_Conducted,Machine Learning_Attended,Machine Learning_Conducted,Deep Learning_Attended,Deep Learning_Conducted,Statistics_Attended,Statistics_Conducted,NLP_Attended,NLP_Conducted,Computer Vision_Attended,Computer Vision_Conducted,Data Mining_Attended,Data Mining_Conducted,Cloud Computing_Attended,Cloud Computing_Conducted,Data Science_Attended,Data Science_Conducted,Big Data_Attended,Big Data_Conducted,ML_Attended,ML_Conducted,Data Visualization_Attended,Data Visualization_Conducted,R Programming_Attended,R Programming_Conducted,Signals_Attended,Signals_Conducted,Digital Electronics_Attended,Digital Electronics_Conducted,VLSI_Attended,VLSI_Conducted,Communication Systems_Attended,Communication Systems_Conducted,Networks_Attended,Networks_Conducted,Embedded Systems_Attended,Embedded Systems_Conducted,Microprocessors_Attended,Microprocessors_Conducted,DSP_Attended,DSP_Conducted,IoT_Attended,IoT_Conducted,Control Systems_Attended,Control Systems_Conducted,Power Systems_Attended,Power Systems_Conducted,Machines_Attended,Machines_Conducted,Circuits_Attended,Circuits_Conducted,Measurements_Attended,Measurements_Conducted,Power Electronics_Attended,Power Electronics_Conducted,Electrical Drives_Attended,Electrical Drives_Conducted,Renewable Energy_Attended,Renewable Energy_Conducted,Protection_Attended,Protection_Conducted,HV Engineering_Attended,HV Engineering_Conducted,Web Technology_Attended,Web Technology_Conducted,Cyber Security_Attended,Cyber Security_Conducted,Mobile Computing_Attended,Mobile Computing_Conducted,Data Analytics_Attended,Data Analytics_Conducted,Thermodynamics_Attended,Thermodynamics_Conducted,Mechanics_Attended,Mechanics_Conducted,Manufacturing_Attended,Manufacturing_Conducted,CAD_Attended,CAD_Conducted,Heat Transfer_Attended,Heat Transfer_Conducted,Fluid Mechanics_Attended,Fluid Mechanics_Conducted,Machine Design_Attended,Machine Design_Conducted,Automation_Attended,Automation_Conducted,Industrial Engineering_Attended,Industrial Engineering_Conducted,Robotics_Attended,Robotics_Conducted,Surveying_Attended,Surveying_Conducted,Structures_Attended,Structures_Conducted,Geotechnical_Attended,Geotechnical_Conducted,Transportation_Attended,Transportation_Conducted,Concrete Tech_Attended,Concrete Tech_Conducted,Hydraulics_Attended,Hydraulics_Conducted,Environmental Engineering_Attended,Environmental Engineering_Conducted,Construction Management_Attended,Construction Management_Conducted,Steel Structures_Attended,Steel Structures_Conducted,Estimation_Attended,Estimation_Conducted,Ethical Hacking_Attended,Ethical Hacking_Conducted,Cryptography_Attended,Cryptography_Conducted,Digital Forensics_Attended,Digital Forensics_Conducted,Cloud Security_Attended,Cloud Security_Conducted,Web Security_Attended,Web Security_Conducted,Malware Analysis_Attended,Malware Analysis_Conducted,SOC Operations_Attended,SOC Operations_Conducted,Data Engineering_Attended,Data Engineering_Conducted,Visualization_Attended,Visualization_Conducted,Predictive Analytics_Attended,Predictive Analytics_Conducted
"23CSE001","Student_1","CSE","",138,150,137,150,72,150,70,150,90,150,90,150,105,150,114,150,89,150,143,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23AIML002","Student_2","AIML","",134,150,144,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,150,146,150,84,150,71,150,100,150,95,150,81,150,128,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23AIDS003","Student_3","AIDS","",108,150,141,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,150,0,0,0,0,104,150,0,0,0,0,0,0,98,150,107,150,142,150,129,150,130,150,89,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23ECE004","Student_4","ECE","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,150,107,150,75,150,149,150,144,150,132,150,121,150,82,150,78,150,142,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23EEE005","Student_5","EEE","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,150,121,150,141,150,82,150,84,150,78,150,147,150,149,150,105,150,125,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23IT006","Student_6","IT","",110,150,122,150,0,0,104,150,0,0,75,150,113,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,150,147,150,107,150,106,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23MECH007","Student_7","MECH","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,150,89,150,140,150,138,150,77,150,74,150,77,150,140,150,138,150,127,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23CIVIL008","Student_8","CIVIL","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,150,82,150,125,150,147,150,141,150,87,150,139,150,118,150,77,150,122,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23CYBER009","Student_9","CYBER","",72,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,150,93,150,89,150,136,150,125,150,138,150,100,150,0,0,0,0,0,0
"23DS010","Student_10","DS","",122,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,150,0,0,134,150,147,150,0,0,0,0,74,150,0,0,0,0,127,150,83,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,150,88,150,75,150
